Epic,Story ID,Issue Type,Summary,Description,Acceptance Criteria,Priority,Status,Story Points,Labels,Component,Notes
AI,HUDDL-091,Story,AI Feed Service – Smart Feed Nudges (Step 7),"Generates typed feed nudge cards: vaccination reminders, seasonal activities, dad-specific content, knowledge nudges.","NudgeCard types: vaccinationReminder, seasonalActivity, dadSpecific, knowledgeNudge; RankedFeedItem with priority score; injected into home feed.",High,Done,8,ai;feed;nudges,AI,lib/services/ai_feed_service.dart – AiFeedService; Step 7; NudgeCard types
AI,HUDDL-092,Story,AI Offers Service – Smart Deal Recommendations (Step 10),"AI recommends relevant deals and coupons based on child age, interests, and learning engine.","AiDealRecommendation, AiCouponInsight, AiSeasonalSpotlight models; age-based scoring; RevGlue integration for affiliate deals.",Medium,Done,5,ai;offers;deals,AI,lib/services/ai_offers_service.dart – AiOffersService; Step 10; lib/services/revglue_service.dart
AI,HUDDL-093,Story,Daily AI Refresh Service (Steps 1-6 + 13),"Orchestrates daily background refresh of all AI subsystems.","DailyAiRefreshService runs once per day; Steps 1-6 executed in order; Step 13 GDPR borough data; refresh timestamp stored.",High,Done,8,ai;background;refresh,AI,lib/services/daily_ai_refresh_service.dart – DAILY AI REFRESH CYCLE V4; Steps 1-6; Step 13
AI,HUDDL-094,Story,Invisible AI Service,"Meta-service coordinating all AI signals transparently without user-visible prompts.","InvisibleAiService coordinates signals from learning engine, feed, matchmaker; no UI prompts; context passed to Gemini system prompt.",Medium,Done,5,ai;invisible,AI,lib/services/invisible_ai_service.dart – InvisibleAiService
AI,HUDDL-095,Story,Borough AI Context Service,"Provides borough-specific AI context (demographics, popular topics, local venues) to AI pipeline.","BoroughAiContext assembled per borough; fed into GeminiSystemPromptBuilder; refreshed daily.",High,Done,5,ai;borough;context,AI,lib/services/borough_ai_context.dart – BoroughAiContext
AI,HUDDL-096,Story,AI API Helper,"Shared HTTP wrapper for all Gemini API calls with retry logic and error handling.","AiApiHelper handles auth headers; rate limiting; retry on 429/5xx; returns structured responses; logs errors.",High,Done,3,ai;api,AI,lib/services/ai_api_helper.dart – AiApiHelper
AI,HUDDL-097,Story,AI Assistant Bottom Sheet (Home Feed Entry),"Tap-to-expand AI assistant entry point on home screen for progressive disclosure.","Sparkle/wand icon on home feed; taps open ai_assistant_sheet.dart bottom sheet; AI context pre-loaded.",Medium,Done,3,ai;ux;home,AI,lib/widgets/ai_assistant_sheet.dart – AiAssistantSheet
AI,HUDDL-098,Story,Vertex AI Configuration,"Google Vertex AI config for enterprise-grade Gemini access.","vertex_ai_config.dart correctly configures project/region; used as alternative to direct Gemini API when needed.",Medium,Done,2,ai;config;vertexai,AI,lib/config/vertex_ai_config.dart – VertexAiConfig; lib/config/gemini_config.dart – GeminiConfig
SUBSCRIPTION,HUDDL-099,Epic,Subscription & Monetisation,"Three-tier freemium subscription model (Explorer/Neighbourhood/Inner Circle) with in-app purchase on mobile and Stripe on web.","Users can view plans, subscribe, manage subscription, and restore purchases.",High,Done,21,subscription;payments;iap,Subscription,Delivered – 3 screens + 2 services
SUBSCRIPTION,HUDDL-100,Story,Subscription Plans Screen,"Displays the 3 subscription tiers with features and pricing.","Explorer (free), Neighbourhood (£5.99/mo or £49.99/yr), Inner Circle (£11.99/mo or £99.99/yr) shown; monthly/annual toggle; CTA per tier.",High,Done,5,subscription;ui,Subscription,lib/screens/subscription/subscription_plans_screen.dart; lib/models/subscription.dart
SUBSCRIPTION,HUDDL-101,Story,Subscription Checkout Screen,"Handles the purchase flow for paid tiers.","Tier + billing period confirmed; in_app_purchase on mobile (StoreKit/Play Billing); Stripe redirect on web; purchase confirmation.",High,Done,8,subscription;payments,Subscription,lib/screens/subscription/subscription_checkout_screen.dart – SubscriptionCheckoutScreen
SUBSCRIPTION,HUDDL-102,Story,Manage Subscription Screen,"Shows current plan, renewal date, and allows cancellation or upgrade/downgrade.","Current tier displayed; renewal date shown; Cancel/Restore Purchase options; schedule plan change on next renewal.",High,Done,5,subscription;management,Subscription,lib/screens/subscription/manage_subscription_screen.dart – ManageSubscriptionScreen
SUBSCRIPTION,HUDDL-103,Story,Payment Service – iOS/Android IAP + Web Stripe,"Multi-platform payment integration wrapping StoreKit, Google Play Billing, and Stripe.","Mobile: in_app_purchase plugin; Web: Stripe Checkout redirect; product IDs match store; receipt verification; ChangeNotifier for state.",High,Done,8,subscription;payments;stripe;iap,Subscription,"lib/services/payment_service.dart – PaymentService. TODO: Replace placeholder Stripe price IDs (price_neighbour_monthly etc.) before production."
SUBSCRIPTION,HUDDL-104,Story,Subscription Service – Tier Management,"Manages subscription state, tier checks, and upgrade prompts throughout the app.","SubscriptionService.tier getter; isPaid/isInnerCircle booleans; UpgradeBanner/UpgradePrompt widgets shown when feature gated.",High,Done,5,subscription;gating,Subscription,lib/services/subscription_service.dart; lib/widgets/upgrade_prompt.dart – UpgradeBanner
PROFILE,HUDDL-105,Epic,User Profile & Settings,"Profile management, privacy controls, GDPR rights, and account settings.","Profile viewable and editable; settings accessible; GDPR tools functional.",High,Done,21,profile;settings;gdpr,Profile,Delivered – 2 screens + 6 services
PROFILE,HUDDL-106,Story,Profile Screen – View & Edit Profile,"User can view and update their profile (name, bio, photo, postcode).","Profile details displayed; Edit mode with inline editing; photo update via image picker; changes saved to Firestore via HuddlUserService.",High,Done,5,profile,Profile,lib/screens/profile/profile_screen.dart – ProfileScreen; lib/services/huddl_user_service.dart
PROFILE,HUDDL-107,Story,Profile Screen – Notification Preferences,"User controls push notification settings.","Push notification toggle; DM notification toggle; group notification toggle; preferences persisted in pref_* keys.",Medium,Done,3,profile;notifications,Profile,lib/screens/profile/profile_screen.dart notification section; lib/services/backend_api_service.dart FCM token registration
PROFILE,HUDDL-108,Story,Profile Screen – GDPR Rights (View/Export/Delete),"GDPR Article 15/17/20 rights accessible from Profile.","View My Data shows all stored data; Export downloads JSON; Delete Account triggers 30-day deletion process; GdprBoroughDataService used.",High,Done,8,profile;gdpr;privacy,Profile,lib/screens/profile/profile_screen.dart GDPR section; lib/services/gdpr_borough_data_service.dart – Art.6/15/17/20/25
PROFILE,HUDDL-109,Story,Profile Screen – Biometric Lock Toggle,"Enable/disable fingerprint or Face ID lock on Messages tab.","Toggle in Security settings; BiometricAuthService checks device support; preference saved in huddl_biometric_enabled.",Medium,Done,2,profile;security;biometric,Profile,lib/screens/profile/profile_screen.dart security section; lib/services/biometric_auth_service.dart
PROFILE,HUDDL-110,Story,Backup & Restore Screen,"Manual backup and restore of all app data.","Export encrypted JSON backup; re-import from file; backup includes all SharedPreferences keys listed in BackupRestoreService; passwords excluded.",Medium,Done,5,profile;backup,Profile,lib/screens/profile/backup_restore_screen.dart; lib/services/backup_restore_service.dart
PROFILE,HUDDL-111,Story,User Privacy Preferences Service,"Manages granular privacy settings (profile visibility, data sharing).","UserPrivacyPrefsService stores preferences; profile visibility settings (public/borough/private); data sharing opt-in/out.",Medium,Done,3,profile;privacy,Profile,lib/services/user_privacy_prefs_service.dart – UserPrivacyPrefsService
PROFILE,HUDDL-112,Story,Feedback Service,"Users can submit in-app feedback.","FeedbackService.submit() captures feedback text + category; sends to Firestore feedback collection or email via EmailJS.",Medium,Done,2,profile;feedback,Profile,lib/services/feedback_service.dart – FeedbackService
LEGAL,HUDDL-113,Epic,Legal & Compliance Screens,"Terms of Service and Privacy Policy screens with full GDPR compliance language.","ToS and Privacy Policy fully displayed; GDPR article references correct; accessible from onboarding and profile.",High,Done,8,legal;gdpr;compliance,Legal,Delivered
LEGAL,HUDDL-114,Story,Terms of Service Screen,"Full terms of service displayed in-app.","TermsOfServiceScreen renders complete ToS; scrollable; accessible from /terms route; link from onboarding and profile.",High,Done,3,legal,Legal,lib/screens/legal/terms_of_service_screen.dart – TermsOfServiceScreen
LEGAL,HUDDL-115,Story,Privacy Policy Screen with GDPR Notice,"Full privacy policy with GDPR Articles 6/15/16/17/18/20/25 references.","PrivacyPolicyDetailScreen renders full policy; GDPR notice widget at top; all articles cited; ICO information included.",High,Done,5,legal;gdpr,Legal,lib/screens/legal/privacy_policy_detail_screen.dart – PrivacyPolicyDetailScreen; _buildGDPRNotice()
INFRASTRUCTURE,HUDDL-116,Epic,Infrastructure & Cross-Cutting Concerns,"Firebase configuration, routing, theming, storage, analytics, and borough management.","App bootstraps cleanly; routing works; theme consistent; Firebase services connected.",High,Done,21,infra;firebase;theme,Infrastructure,Delivered
INFRASTRUCTURE,HUDDL-117,Story,Firebase Configuration & Multi-Platform Init,"Firebase initialised for both Android and Web platforms.","firebase_options.dart with DefaultFirebaseOptions.currentPlatform; Firebase.initializeApp() called in main(); no 'No Firebase App' errors on web.",High,Done,5,infra;firebase,Infrastructure,lib/config/firebase_options.dart; lib/main.dart
INFRASTRUCTURE,HUDDL-118,Story,App Router (Named Routes),"Central named route mapping for all 37 app routes.","Router.generateRoute() handles all routes listed in router.dart; unknown routes show 404 screen; transitions via FadePageRoute.",High,Done,5,infra;navigation,Infrastructure,lib/config/router.dart – Router; 37 routes defined
INFRASTRUCTURE,HUDDL-119,Story,Huddl Theme System (Colors + Typography),"Consistent brand theme including HuddlColors, HuddlTheme, and HuddlTypography.","HuddlColors palette defined; HuddlTheme applied globally in main.dart; app_typography.dart; light mode only (dark mode intentionally removed).",High,Done,3,infra;theme;ui,Infrastructure,lib/theme/huddl_colors.dart; lib/theme/huddl_theme.dart; lib/theme/app_typography.dart; lib/constants/app_colors.dart
INFRASTRUCTURE,HUDDL-120,Story,Browser Storage (SharedPreferences Wrapper),"Unified cross-platform local storage service wrapping SharedPreferences.","BrowserStorage.getString/setString/remove works on Android and Web; all services use BrowserStorage not direct SharedPreferences.",High,Done,3,infra;storage,Infrastructure,lib/services/browser_storage.dart – BrowserStorage
INFRASTRUCTURE,HUDDL-121,Story,Borough Analytics Service,"Tracks borough-level engagement metrics for AI and admin insights.","BoroughAnalyticsService records interactions per borough; engagement stats feed into AiLearningEngine; BoroughEngagementStats model.",Medium,Done,3,infra;analytics;borough,Infrastructure,lib/services/borough_analytics_service.dart; lib/services/borough_cache_service.dart
INFRASTRUCTURE,HUDDL-122,Story,Backend API Service (FCM + Server),"HTTP client for backend API calls including FCM token registration.","BackendApiService.registerFcmToken() sends token to backend; error handling; retry logic; used by HuddlUserService.",Medium,Done,3,infra;backend;fcm,Infrastructure,lib/services/backend_api_service.dart – BackendApiService
INFRASTRUCTURE,HUDDL-123,Story,Firestore Service – Full CRUD Data Layer,"Comprehensive Firestore wrapper for all app data operations.","Methods for users, groups, messages, DMs, meetups, marketplace, notifications, subscriptions, and community feed; all error-handled.",High,Done,8,infra;firestore;data,Infrastructure,lib/services/firestore_service.dart – FirestoreService; 25+ methods
INFRASTRUCTURE,HUDDL-124,Story,Main Shell – Bottom Navigation with 5 Tabs,"Persistent bottom navigation bar for Home, Groups, Discover, Marketplace, and Profile.","5 tabs render; tab switching preserves state; notification badge on Groups/DMs; MainShell wraps all post-auth screens.",High,Done,5,infra;navigation;ui,Infrastructure,lib/screens/main_shell.dart – MainShell
INFRASTRUCTURE,HUDDL-125,Story,Interactive Tutorial Overlay System,"First-run tutorial highlighting app features with step-by-step overlay.","TutorialService provides ordered steps; TutorialOverlay widget shows target area highlight + tooltip; skip and complete options; tutorial_completed_v1 stored.",Medium,Done,5,infra;tutorial;onboarding,Infrastructure,lib/services/tutorial_service.dart; lib/widgets/tutorial/tutorial_overlay.dart – TutorialOverlay
INFRASTRUCTURE,HUDDL-126,Story,Shared Huddl Widget Library,"Reusable brand-consistent UI components used across the app.","HuddlAvatar, HuddlBadge, HuddlBottomSheetHandle, HuddlChip, HuddlImageCard, HuddlPrimaryButton, HuddlSearchBar, HuddlSectionHeader, HuddlTextField available.",High,Done,8,infra;ui;design-system,Infrastructure,lib/widgets/huddl_widgets.dart; lib/widgets/common/ – 6 common widgets; lib/widgets/ – 12 widget files
INFRASTRUCTURE,HUDDL-127,Story,HuddlEmptyState Shared Widget with Brand Illustrations,"Reusable empty-state widget with 7 illustration constants.","HuddlEmptyState(illustration, title, subtitle, [onAction, actionLabel]) renders 160px illustration; all 4 screens updated (Groups, Events, Marketplace, Home).",Medium,Done,3,infra;ui;branding,Infrastructure,lib/widgets/common/huddl_empty_state.dart – HuddlIllustration (7 constants); commit f7b537a
INFRASTRUCTURE,HUDDL-128,Story,Dynamic Color (Material You) Support,"Android 12+ dynamic colour extraction for adaptive theming.","dynamic_color package integrated; DynamicColorBuilder wraps app; falls back to HuddlTheme on unsupported devices.",Low,Done,2,infra;theme;android,Infrastructure,pubspec.yaml dynamic_color ^1.7.0; lib/main.dart
INFRASTRUCTURE,HUDDL-129,Story,Debug Borough Screen,"Developer screen for testing borough resolution and scope enforcement.","BoroughDebugScreen shows current borough; allows manual override for testing; not shown in production navigation.",Low,Done,2,infra;debug,Infrastructure,lib/screens/debug/borough_debug_screen.dart – BoroughDebugScreen
BUGS,HUDDL-130,Bug,Remove All Hardcoded Dummy Users from Group Chat,"Dummy users (Lucy, Emma, James, Anna, Kate, Sophie) were hardcoded in 5 files.","No hardcoded user names in group_chat_screen, dm_chat_screen, group_members_screen, group_details_screen, groups_screen. Chat starts empty; real Firestore data loads.",High,Done,5,bug;data;cleanup,Groups,"Fixed in commit cecfc1a – 421 lines removed across: group_chat_screen.dart (_generateDemoMessages deleted), message_search_service.dart (_getDemoGroupMessages deleted), group_members_screen.dart (hardcoded list cleared), group_details_screen.dart (name arrays removed), groups_screen.dart (fake lastMessage stripped)"
BUGS,HUDDL-131,Bug,Replace All Empty-State Icons with Brand Illustrations,"Default Material icons used in empty states instead of Huddl brand illustrations.","All 10 empty-state contexts use HuddlEmptyState with correct HuddlIllustration constant; no raw Icon() widgets in empty states.",Medium,Done,3,bug;ui;branding,UI,"Fixed in commit f7b537a – new lib/widgets/common/huddl_empty_state.dart; 5 files updated (groups, events, marketplace, home screens)"
BUGS,HUDDL-132,Bug,OTP Flow Shows 'Account Not Found' for Valid Phone Numbers,"Phone number/password/OTP flow incorrectly shows OTP then reports account not found.","Login flow correctly determines if phone is registered before sending OTP; 'Account not found' only shown after OTP if account genuinely missing; regression tested.",High,In Progress,5,bug;auth;otp,Auth,Identified in conversation history – investigate FirebaseAuthService + OTPService interaction; OTP service is currently client-side (TODO: Twilio/Vonage)
BUGS,HUDDL-133,Bug,Deleted Account Still Shows Main App Instead of Onboarding,"Users who delete their account continue to see the main app instead of being redirected to onboarding.","After account deletion: Firebase auth sign-out triggered; SharedPreferences cleared; app navigates to /onboarding; no residual data displayed.",High,In Progress,5,bug;auth;gdpr;onboarding,Auth,Identified in conversation history – verify deleteAccount flow in profile_screen.dart + firebase_auth_service.dart
NEW,HUDDL-134,Epic,Service Provider Feature – Marketplace Expansion,"Add professional service provider listings to the app (Night Nannies, Nannies, Postnatal Doulas, Sleep Consultants, Lactation Consultants, Private Paediatricians, Nanny Placement, Household Support, Mental Health Therapists, Pregnancy & Birth Professionals).","Service providers can create profiles; parents can discover and contact them; 10 provider categories supported.",High,To Do,55,new;service-provider;marketplace,Marketplace,From Backlog.docx – top 10 service providers listed
NEW,HUDDL-135,Story,Service Provider Onboarding Flow,"Dedicated registration and profile creation flow for service providers.","Service provider selects 'I am a provider' at signup; completes business profile (name, category, description, qualifications, DBS check, photo, service area); profile published to provider directory.",High,To Do,13,new;service-provider;onboarding,Marketplace,"Backlog.docx service provider onboarding motivation: 'appear in a local trusted parent community'; each category has tailored messaging"
NEW,HUDDL-136,Story,Service Provider Category: Night Nannies,"Listing and profile support for Night Nanny services.","Night Nanny providers can list: hourly/nightly rates, newborn specialism, sleep support method, DBS status, travel radius; parents can filter/search Night Nannies in their borough.",High,To Do,5,new;service-provider;night-nanny,Marketplace,Backlog.docx – Service: Night Nanny support; App positioning: vetted local night nannies trusted by local parents
NEW,HUDDL-137,Story,Service Provider Category: Nannies (Full/Part-time),"Listing and profile support for Nanny services.","Nanny profiles include availability (full/part/ad-hoc), age range experience, live-in/live-out, rate, references; Ofsted registration shown.",High,To Do,5,new;service-provider;nanny,Marketplace,Backlog.docx – Service: Nanny placement
NEW,HUDDL-138,Story,Service Provider Category: Postnatal Doulas,"Listing and profile support for Postnatal Doula services.","Doula profiles include: postnatal support type, breastfeeding support, home visits, qualifications, rates; search by borough.",High,To Do,5,new;service-provider;doula,Marketplace,Backlog.docx – Service: Postnatal Doula
NEW,HUDDL-139,Story,Service Provider Category: Sleep Consultants,"Listing and profile support for Baby/Child Sleep Consultants.","Sleep consultant profiles include: age range, methods offered (e.g. gentle, CIO), online vs in-home, qualifications, testimonials.",High,To Do,5,new;service-provider;sleep,Marketplace,Backlog.docx – Service: Sleep Consultant
NEW,HUDDL-140,Story,Service Provider Category: Lactation Consultants / IBCLCs,"Listing and profile support for Lactation Consultants.","Profile includes: IBCLC qualification status, in-home/clinic/online, NHS vs private, rates; mothers can message directly.",High,To Do,5,new;service-provider;lactation,Marketplace,Backlog.docx – Service: Lactation Consultant
NEW,HUDDL-141,Story,Service Provider Category: Private Paediatricians,"Listing and profile support for Private Paediatricians.","Profile includes: GMC number, specialisms, clinic locations, NHS vs private, booking link; DBS shown.",High,To Do,5,new;service-provider;paediatrician,Marketplace,Backlog.docx – Service: Private Paediatrician
NEW,HUDDL-142,Story,Service Provider Category: Nanny Placement Agencies,"Listing and profile support for Nanny Placement Agencies.","Agency profiles include: service area, vetting process, types of nannies placed, fees structure; contact/referral flow.",Medium,To Do,3,new;service-provider;agency,Marketplace,Backlog.docx – Service: Nanny Placement Agency
NEW,HUDDL-143,Story,Service Provider Category: Household Support (Cleaners/Au Pairs),"Listing and profile support for Household Support services.","Profile includes: service type (cleaning, au pair, cook), availability, rates, references; borough-scoped listings.",Medium,To Do,3,new;service-provider;household,Marketplace,Backlog.docx – Service: Household Support
NEW,HUDDL-144,Story,Service Provider Category: Mental Health Therapists (Perinatal),"Listing and profile support for Perinatal Mental Health Therapists.","Profile includes: BACP/UKCP registration, specialisms (PND, PNA, birth trauma), in-person/online, rates; safeguarding info.",High,To Do,5,new;service-provider;mental-health,Marketplace,Backlog.docx – Service: Mental Health Therapist (perinatal)
NEW,HUDDL-145,Story,Service Provider Category: Pregnancy & Birth Professionals,"Listing and profile support for midwives, birth doulas, antenatal teachers.","Profile includes: qualification/registration, services offered, birth preferences support, home/hospital/midwife-led unit.",High,To Do,5,new;service-provider;pregnancy,Marketplace,Backlog.docx – Service: Pregnancy & Birth professionals
NEW,HUDDL-146,Story,Service Provider Review & Trust System,"Parents can leave verified reviews for service providers.","Star rating (1-5); written review; 'Verified Parent' badge on reviews; provider can respond; aggregated rating shown on listing.",High,To Do,8,new;service-provider;reviews;trust,Marketplace,Derived from Backlog.docx trust/safety context
NEW,HUDDL-147,Story,Service Provider Messaging / Enquiry Flow,"Parents can send enquiries directly to service providers.","Message button on provider profile; opens DM or dedicated enquiry thread; provider receives push notification; enquiry tracked.",High,To Do,8,new;service-provider;messaging,Marketplace,Derived from Backlog.docx onboarding motivation for providers
NEW,HUDDL-148,Story,Service Provider Admin Dashboard,"Providers can manage their listing, view enquiries, and update availability.","Provider dashboard accessible post-login; edit profile; manage incoming messages; update availability calendar; subscription tier for premium visibility.",Medium,To Do,8,new;service-provider;admin,Marketplace,Derived from Backlog.docx provider positioning
NEW,HUDDL-149,Epic,Website SEO & Performance Improvements,"Marketing website improvements for organic search, content depth, and page performance.","Website passes Core Web Vitals; blog/FAQ/local pages published; backlinks strategy implemented.",High,To Do,34,new;website;seo;marketing,Website,From Backlog.docx – SEO and performance section
NEW,HUDDL-150,Story,SEO Backlinks Acquisition Strategy,"Build domain authority through quality backlink programme.","Identify 20+ relevant parent/family sites for outreach; submit to 5+ parenting directories; guest post on 3+ relevant blogs; track DA score.",High,To Do,8,new;website;seo;backlinks,Website,Backlog.docx – SEO task: backlinks
NEW,HUDDL-151,Story,Blog / Content Marketing Section,"Launch a blog covering parenting topics relevant to Huddl's audience.","Blog section live on website; minimum 10 launch articles covering: sleep training, local activities, baby gear, postnatal support; SEO-optimised; internal linking to app download.",High,To Do,8,new;website;content;seo,Website,Backlog.docx – Content depth: blog
NEW,HUDDL-152,Story,Local Area Landing Pages (Borough SEO),"Create dedicated landing pages for each supported borough.","One landing page per borough (e.g. /cambridge, /south-cambridgeshire); unique content per page; local schema markup; 'Join Huddl in [Borough]' CTA.",High,To Do,8,new;website;seo;local,Website,Backlog.docx – Content depth: local pages
NEW,HUDDL-153,Story,FAQ Page,"Comprehensive FAQ covering app features, safety, subscriptions, and data.","FAQ page live; covers: How does Huddl work, Is it safe, How is my data used, How to cancel subscription, How to report a user; schema markup.",Medium,To Do,3,new;website;faq;seo,Website,Backlog.docx – Content depth: FAQ
NEW,HUDDL-154,Story,About / Team Page,"Company story and founding team page.","About page with mission statement, founder story, team photos/bios; trust signals (press mentions, user stats); link from home page.",Medium,To Do,3,new;website;branding,Website,Backlog.docx – Content depth: about page
NEW,HUDDL-155,Story,Safety & Trust Page,"Dedicated page explaining Huddl's safety measures and moderation approach.","Safety page covers: content moderation, reporting process, DBS check policy for providers, borough verification, data protection.",High,To Do,5,new;website;safety;trust,Website,Backlog.docx – Content depth: safety page
NEW,HUDDL-156,Story,Parenting Glossary / Resource Hub,"A-Z glossary of parenting terms and resource links.","Glossary with 50+ terms (NICU, IBCLC, HV, PND, etc.); each term links to relevant app feature or content; SEO long-tail value.",Low,To Do,5,new;website;content;seo,Website,Backlog.docx – Content depth: glossary
NEW,HUDDL-157,Story,Website Font Self-Hosting (Performance),"Move Google Fonts to self-hosted to improve page load speed.","Fonts served from own domain (no Google Fonts CDN); reduces external DNS lookup; LCP improvement measurable in PageSpeed Insights.",Medium,To Do,2,new;website;performance,Website,Backlog.docx – Page speed: font hosting
NEW,HUDDL-158,Story,Image Preloading / WebP Conversion (Performance),"Convert all website images to WebP and add preload hints for hero images.","All images served as WebP; hero image has <link rel=preload>; image file sizes reduced by ≥40%; CLS score improved.",Medium,To Do,3,new;website;performance,Website,Backlog.docx – Page speed: image preloading + WebP
NEW,HUDDL-159,Story,Lazy Load Non-Critical Website Assets,"Defer loading of below-fold images and scripts.","Images below fold use loading='lazy'; third-party scripts deferred; TBT score improved; no impact on above-fold content.",Medium,To Do,2,new;website;performance,Website,Backlog.docx – Page speed: lazy-load
NEW,HUDDL-160,Story,Code Splitting / Bundle Optimisation (Website),"Reduce initial JS bundle size via code splitting.","Route-based code splitting implemented; unused CSS/JS eliminated (Tailwind purge); initial bundle <100KB gzipped; FCP improved.",Medium,To Do,3,new;website;performance,Website,Backlog.docx – Page speed: code-splitting; Tailwind purge
NEW,HUDDL-161,Story,Preconnect DNS for Third-Party Resources (Website),"Add preconnect hints for Firebase, Google Analytics, and CDN origins.","<link rel=preconnect> added for all third-party origins used above fold; reduces DNS resolution time; TTFB improved.",Low,To Do,1,new;website;performance,Website,Backlog.docx – Page speed: preconnect
NEW,HUDDL-162,Epic,Legal & Compliance Operational Actions,"Business compliance tasks required for UK GDPR, ICO registration, DPAs, and data governance.","All 12 compliance checklist items actioned; ICO registered; DPAs in place with all processors; deletion process documented.",High,To Do,34,new;legal;gdpr;compliance,Legal,From Backlog.docx – compliance checklist (12 items)
NEW,HUDDL-163,Story,ICO Registration (UK Data Controller),"Register as a Data Controller with the Information Commissioner's Office.","ICO registration completed; registration number obtained; displayed in Privacy Policy and app footer; annual renewal reminder set.",High,To Do,2,new;legal;ico;gdpr,Legal,Backlog.docx – compliance item 1: ICO registration
NEW,HUDDL-164,Story,Data Processing Agreements (DPAs) with All Processors,"Execute DPAs with Firebase/Google, Stripe, Twilio/Vonage, RevGlue, EmailJS, and any other data processors.","DPA signed with each processor; UK IDTA or EU SCC addendum where applicable (for non-UK processors); DPA register maintained.",High,To Do,5,new;legal;dpa;gdpr,Legal,"Backlog.docx – compliance items 2-3: DPAs + UK IDTA/EU SCCs. Processors: Firebase, Stripe, Twilio, RevGlue, EmailJS"
NEW,HUDDL-165,Story,Google Analytics 4 Decision & PECR Compliance,"Decide whether to use GA4 or a privacy-first alternative; implement with PECR-compliant consent.","Decision documented; if GA4 used: consent banner implemented; if alternative (Plausible/Fathom): deployed and verified; no tracking without consent.",Medium,To Do,3,new;legal;analytics;pecr,Legal,Backlog.docx – compliance item 4: GA4 decision
NEW,HUDDL-166,Story,Subject Access Request (SAR) Inbox Workflow,"Create a documented process for handling Subject Access Requests.","Dedicated SAR email address created; 30-day response SLA documented; response template prepared; received SARs logged in tracker.",High,To Do,2,new;legal;sar;gdpr,Legal,Backlog.docx – compliance item 5: SAR inbox workflow
NEW,HUDDL-167,Story,30-Day Account & Data Deletion Process,"Implement and document the process for deleting user accounts and data within 30 days.","Automated deletion job runs within 30 days of request; covers Firestore, Firebase Storage, Firebase Auth, SharedPreferences backup; deletion confirmed to user; audit log created.",High,To Do,8,new;legal;deletion;gdpr,Legal,"Backlog.docx – compliance item 6: 30-day deletion. Privacy Policy already states '30 days' – ensure technical implementation matches"
NEW,HUDDL-168,Story,6-Year Data Retention Policy Implementation,"Ensure data required for legal/tax purposes is retained for 6 years; all other data deleted on schedule.","Retention schedule documented; automated cleanup for data beyond retention period; subscription/payment records kept 6 years; user content deleted on account deletion.",Medium,To Do,3,new;legal;retention;gdpr,Legal,Backlog.docx – compliance item 7: 6-year retention
NEW,HUDDL-169,Story,Data Protection Officer (DPO) / Privacy Monitoring Setup,"Designate DPO contact and establish ongoing privacy monitoring.","DPO contact designated (internal or external); privacy@huddl.co.uk or equivalent created; monitoring schedule set for privacy law changes.",Medium,To Do,2,new;legal;dpo;gdpr,Legal,Backlog.docx – compliance item 8: DPO monitoring
NEW,HUDDL-170,Story,Business Insurance (Cyber / Public Liability / PI),"Obtain appropriate business insurance covering cyber liability, public liability, and professional indemnity.","Quotes obtained from minimum 3 providers; cyber liability policy in place; public liability and professional indemnity assessed; policy documents filed.",Medium,To Do,2,new;legal;insurance,Legal,Backlog.docx – compliance item 9: insurance quotes
NEW,HUDDL-171,Story,Mandatory Reporting Workflow (Safeguarding),"Document and implement mandatory safeguarding reporting workflow for child safety concerns.","Workflow documented: what triggers a report, to whom (police/LADO/DSARS), timeline, record-keeping; in-app reporting mechanism links to workflow.",High,To Do,5,new;legal;safeguarding;safety,Legal,Backlog.docx – compliance item 10: mandatory reporting workflow
NEW,HUDDL-172,Story,Annual Security Audit Schedule,"Establish annual penetration testing and security audit programme.","First security audit scheduled; scope includes API endpoints, Firebase rules, authentication flows, data storage; findings tracked to remediation.",High,To Do,3,new;legal;security;audit,Legal,Backlog.docx – compliance item 11: annual security audit
NEW,HUDDL-173,Story,Content Moderation Tooling Implementation,"Implement tooling for moderating user-generated content in groups and marketplace.","Moderation dashboard or integration (e.g. Perspective API, manual review queue) deployed; reported content workflow: report → review → action (remove/warn/ban) within 24h SLA.",High,To Do,8,new;legal;moderation;safety,Legal,Backlog.docx – compliance item 12: moderation tooling
NEW,HUDDL-174,Epic,Documentation & Planning Artefacts,"Create foundational product and technical documentation.","All specified documents authored and stored in version-controlled repository accessible to team.",Medium,To Do,21,new;documentation;planning,Docs,From Backlog.docx – documents to create
NEW,HUDDL-175,Story,Technical Pseudo-Code / Architecture Document,"Document the high-level technical architecture and key algorithm pseudo-code for the app.","Architecture diagram (layers: UI / Services / Firebase / AI); pseudo-code for: AI pipeline Steps 1-14, OTP flow, borough resolution, subscription gating, data deletion; stored in repo /docs.",Medium,To Do,8,new;documentation;architecture,Docs,Backlog.docx – documents: pseudo-code
NEW,HUDDL-176,Story,Account & Credentials Document,"Secure document listing all service accounts, API keys, and credentials.","Document lists: Firebase project ID, Gemini API keys, Stripe account, Apple/Google developer accounts, RevGlue, EmailJS, ICO registration; stored in password manager NOT in repo.",High,To Do,2,new;documentation;security;credentials,Docs,"Backlog.docx – documents: account details. WARNING: Never commit to git"
